Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3527702;Interior;Luiziânia;494;14;;;
3527801;Interior;Lupércio;277;8;;;
3527900;Interior;Lutécia;901;8;;;
3528007;Interior;Macatuba;5342;62;;;
3528106;Interior;Macaubal;1905;23;;;
3528205;Interior;Macedônia;1161;32;;;
3528304;Interior;Magda;847;11;;;
3528403;Interior;Mairinque;5302;92;;;
3528502;RMSP (exceto capital);Mairiporã;7590;286;;;
3528601;Interior;Manduri;997;31;;;
3528700;Interior;Marabá Paulista;834;6;;;
3528809;Interior;Maracaí;3535;57;;;
3528858;Interior;Marapoama;1193;15;;;
3528908;Interior;Mariápolis;1253;13;;;
3529005;Interior;Marília;42165;1166;;;
3529104;Interior;Marinópolis;735;7;;;
3529203;Interior;Martinópolis;2428;103;;;
3529302;Interior;Matão;7388;239;;;
3529401;RMSP (exceto capital);Mauá;36707;1690;;;
3529500;Interior;Mendonça;2191;34;;;
3529609;Interior;Meridiano;648;40;;;
3529658;Interior;Mesópolis;732;6;;;
3529708;Interior;Miguelópolis;1538;107;;;
3529807;Interior;Mineiros do Tietê;2452;35;;;
3529906;Interior;Miracatu;3646;86;;;
3530003;Interior;Mira Estrela;594;16;;;
3530102;Interior;Mirandópolis;2298;120;;;
3530201;Interior;Mirante do Paranapanema;2893;53;;;
3530300;Interior;Mirassol;10572;328;;;
3530409;Interior;Mirassolândia;784;21;;;
3530508;Interior;Mococa;14819;296;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;49698;1904;;;
3530706;Interior;Mogi Guaçu;39127;710;;;
3530805;Interior;Mogi Mirim;25978;429;;;
3530904;Interior;Mombuca;471;11;;;
3531001;Interior;Monções;569;7;;;
3531100;Interior;Mongaguá;3101;111;;;
3531209;Interior;Monte Alegre do Sul;1766;24;;;
3531308;Interior;Monte Alto;11074;224;;;
3531407;Interior;Monte Aprazível;4966;122;;;
3531506;Interior;Monte Azul Paulista;2394;31;;;
3531605;Interior;Monte Castelo;1617;24;;;
3531704;Interior;Monteiro Lobato;326;13;;;
3531803;Interior;Monte Mor;8423;177;;;
3531902;Interior;Morro Agudo;6095;115;;;
3532009;Interior;Morungaba;1091;41;;;
3532058;Interior;Motuca;378;11;;;
3532108;Interior;Murutinga do Sul;1154;22;;;
3532157;Interior;Nantes;260;9;;;
3532207;Interior;Narandiba;1908;25;;;
3532306;Interior;Natividade da Serra;251;15;;;
3532405;Interior;Nazaré Paulista;2994;69;;;
3532504;Interior;Neves Paulista;2691;59;;;
3532603;Interior;Nhandeara;3287;56;;;
3532702;Interior;Nipoã;533;18;;;
3532801;Interior;Nova Aliança;1572;34;;;
3532827;Interior;Nova Campina;1187;46;;;
3532843;Interior;Nova Canaã Paulista;820;10;;;
3532868;Interior;Nova Castilho;316;4;;;
3532900;Interior;Nova Europa;873;31;;;
3533007;Interior;Nova Granada;6480;89;;;
3533106;Interior;Nova Guataporanga;170;4;;;
3533205;Interior;Nova Independência;1677;8;;;
3533254;Interior;Novais;319;19;;;
3533304;Interior;Nova Luzitânia;395;14;;;
3533403;Interior;Nova Odessa;11139;284;;;
3533502;Interior;Novo Horizonte;6292;243;;;
3533601;Interior;Nuporanga;423;15;;;
3533700;Interior;Ocauçu;953;9;;;
3533809;Interior;Óleo;162;6;;;
3533908;Interior;Olímpia;15232;318;;;
3534005;Interior;Onda Verde;958;28;;;
3534104;Interior;Oriente;442;29;;;
3534203;Interior;Orindiúva;2455;20;;;
3534302;Interior;Orlândia;8379;132;;;
3534401;RMSP (exceto capital);Osasco;48993;3138;;;
3534500;Interior;Oscar Bressane;731;10;;;
